,loss_1_name,loss_2_name,loss_3_name,loss_4_name,loss_5_name,win_1_name,win_2_name,win_3_name,win_4_name,win_5_name
539,Nature's Prophet,Tusk,Oracle,Winter Wyvern,Faceless Void,Tiny,Bounty Hunter,Chen,Weaver,Pangolier
540,Tiny,Witch Doctor,Doom,Troll Warlord,Void Spirit,Nature's Prophet,Ember Spirit,Faceless Void,Grimstroke,Phoenix
541,Batrider,Doom,Vengeful Spirit,Mirana,Drow Ranger,Tiny,Queen of Pain,Oracle,Venomancer,Bloodseeker
542,Winter Wyvern,Batrider,Clockwerk,Troll Warlord,Puck,Nature's Prophet,Tiny,Legion Commander,Pugna,Queen of Pain
543,Rubick,Treant Protector,Sand King,Morphling,Puck,Tiny,Grimstroke,Chen,Ember Spirit,Earth Spirit
544,Mirana,Sand King,Grimstroke,Anti-Mage,Leshrac,Terrorblade,Bounty Hunter,Ember Spirit,Skywrath Mage,Legion Commander
545,Earth Spirit,Enchantress,Phantom Lancer,Dark Seer,Doom,Ember Spirit,Tiny,Terrorblade,Pugna,Disruptor
546,Winter Wyvern,Tiny,Windranger,Ursa,Tusk,Ember Spirit,Bounty Hunter,Pangolier,Keeper of the Light,Dazzle
547,Queen of Pain,Treant Protector,Skywrath Mage,Bloodseeker,Kunkka,Pangolier,Chen,Vengeful Spirit,Beastmaster,Void Spirit
548,Mirana,Underlord,Tusk,Weaver,Bristleback,Nature's Prophet,Tiny,Winter Wyvern,Brewmaster,Rubick
549,Earth Spirit,Disruptor,Gyrocopter,Mirana,Kunkka,Brewmaster,Winter Wyvern,Bounty Hunter,Rubick,Tiny
550,Queen of Pain,Clockwerk,Rubick,Slark,Bane,Brewmaster,Winter Wyvern,Mars,Shadow Shaman,Legion Commander
551,Nature's Prophet,Enchantress,Earthshaker,Puck,Ursa,Ember Spirit,Bounty Hunter,Mars,Queen of Pain,Clinkz
552,Faceless Void,Ancient Apparition,Nyx Assassin,Ember Spirit,Doom,Nature's Prophet,Tiny,Queen of Pain,Beastmaster,Bounty Hunter
553,Winter Wyvern,Puck,Doom,Gyrocopter,Pangolier,Nature's Prophet,Ember Spirit,Faceless Void,Witch Doctor,Earth Spirit
554,Enchantress,Earth Spirit,Nature's Prophet,Spectre,Phoenix,Tiny,Bloodseeker,Witch Doctor,Windranger,Juggernaut
555,Windranger,Shadow Demon,Mars,Ember Spirit,Chaos Knight,Bloodseeker,Earth Spirit,Pugna,Faceless Void,Brewmaster
556,Mirana,Tidehunter,Doom,Grimstroke,Visage,Enchantress,Faceless Void,Rubick,Invoker,Mars
557,Tiny,Snapfire,Slardar,Spectre,Winter Wyvern,Io,Sven,Rubick,Beastmaster,Void Spirit
558,Tiny,Snapfire,Bloodseeker,Ember Spirit,Wraith King,Phoenix,Faceless Void,Lich,Nature's Prophet,Underlord
559,Earth Spirit,Lifestealer,Chen,Bloodseeker,Templar Assassin,Tiny,Grimstroke,Mirana,Sven,Ember Spirit
560,Clockwerk,Doom,Arc Warden,Ember Spirit,Skywrath Mage,Enchantress,Terrorblade,Earth Spirit,Storm Spirit,Beastmaster
561,Tiny,Oracle,Enigma,Lycan,Ember Spirit,Dark Seer,Earth Spirit,Grimstroke,Faceless Void,Bristleback
562,Tiny,Ancient Apparition,Slardar,Medusa,Windranger,Io,Sven,Doom,Rubick,Zeus
563,Enchantress,Faceless Void,Rubick,Void Spirit,Sand King,Tiny,Phoenix,Vengeful Spirit,Spirit Breaker,Medusa
564,Tiny,Faceless Void,Grimstroke,Lina,Pangolier,Enchantress,Phoenix,Spirit Breaker,Storm Spirit,Alchemist
565,Io,Gyrocopter,Phoenix,Slardar,Ember Spirit,Tiny,Faceless Void,Chen,Queen of Pain,Pangolier
566,Doom,Enchantress,Mars,Medusa,Dark Willow,Io,Sven,Rubick,Death Prophet,Underlord
567,Oracle,Alchemist,Venomancer,Earth Spirit,Lina,Dark Seer,Tiny,Vengeful Spirit,Medusa,Death Prophet
568,Void Spirit,Grimstroke,Lich,Terrorblade,Storm Spirit,Phoenix,Doom,Clockwerk,Batrider,Drow Ranger
569,Rubick,Void Spirit,Snapfire,Nature's Prophet,Timbersaw,Phoenix,Doom,Clockwerk,Anti-Mage,Dark Seer
570,Vengeful Spirit,Anti-Mage,Rubick,Magnus,Sand King,Dark Seer,Tiny,Grimstroke,Spectre,Elder Titan
571,Void Spirit,Rubick,Grimstroke,Sven,Necrophos,Phoenix,Dark Seer,Tiny,Terrorblade,Slardar
572,Dark Seer,Clockwerk,Ember Spirit,Terrorblade,Enchantress,Oracle,Morphling,Tiny,Necrophos,Mars
573,Rubick,Vengeful Spirit,Tidehunter,Spectre,Storm Spirit,Tiny,Terrorblade,Lich,Beastmaster,Void Spirit
574,Faceless Void,Rubick,Jakiro,Void Spirit,Dragon Knight,Vengeful Spirit,Beastmaster,Mirana,Morphling,Death Prophet
575,Clockwerk,Death Prophet,Winter Wyvern,Drow Ranger,Underlord,Venomancer,Tiny,Faceless Void,Jakiro,Batrider
576,Faceless Void,Snapfire,Witch Doctor,Batrider,Brewmaster,Phoenix,Beastmaster,Enchantress,Spectre,Puck
577,Phoenix,Pangolier,Lich,Spectre,Dragon Knight,Magnus,Troll Warlord,Undying,Lion,Queen of Pain
578,Vengeful Spirit,Terrorblade,Tiny,Undying,Invoker,Faceless Void,Rubick,Lich,Queen of Pain,Void Spirit
579,Undying,Tiny,Dark Seer,Batrider,Morphling,Mirana,Nature's Prophet,Treant Protector,Void Spirit,Riki
580,Rubick,Anti-Mage,Witch Doctor,Kunkka,Brewmaster,Doom,Windranger,Lich,Terrorblade,Slardar
581,Tusk,Lich,Clockwerk,Troll Warlord,Queen of Pain,Crystal Maiden,Dark Seer,Sven,Spirit Breaker,Nature's Prophet
582,Rubick,Slardar,Witch Doctor,Weaver,Doom,Windranger,Batrider,Oracle,Terrorblade,Necrophos
583,Rubick,Mars,Abaddon,Arc Warden,Queen of Pain,Silencer,Batrider,Phoenix,Axe,Chaos Knight
584,Rubick,Enchantress,Void Spirit,Anti-Mage,Sand King,Silencer,Batrider,Phoenix,Mars,Troll Warlord
585,Earth Spirit,Legion Commander,Undying,Medusa,Zeus,Silencer,Sven,Rubick,Death Prophet,Broodmother
586,Nature's Prophet,Clockwerk,Tidehunter,Gyrocopter,Lina,Tiny,Beastmaster,Sven,Witch Doctor,Storm Spirit
587,Jakiro,Beastmaster,Terrorblade,Silencer,Storm Spirit,Nature's Prophet,Tiny,Timbersaw,Phantom Lancer,Winter Wyvern
588,Doom,Clockwerk,Lich,Faceless Void,Dark Seer,Rubick,Crystal Maiden,Gyrocopter,Beastmaster,Dragon Knight
589,Dark Seer,Ember Spirit,Disruptor,Slardar,Lifestealer,Venomancer,Rubick,Tiny,Troll Warlord,Oracle
590,Doom,Beastmaster,Tusk,Disruptor,Invoker,Rubick,Silencer,Underlord,Sven,Dazzle
591,Rubick,Magnus,Crystal Maiden,Necrophos,Ursa,Nature's Prophet,Tiny,Spectre,Winter Wyvern,Viper
592,Rubick,Doom,Faceless Void,Grimstroke,Queen of Pain,Nature's Prophet,Clockwerk,Crystal Maiden,Chaos Knight,Death Prophet
593,Clockwerk,Dark Seer,Jakiro,Wraith King,Skywrath Mage,Nature's Prophet,Rubick,Faceless Void,Batrider,Shadow Demon
594,Venomancer,Rubick,Oracle,Death Prophet,Wraith King,Enchantress,Dark Seer,Spirit Breaker,Void Spirit,Arc Warden
595,Rubick,Arc Warden,Oracle,Slardar,Brewmaster,Venomancer,Tiny,Lycan,Naga Siren,Earth Spirit
596,Rubick,Storm Spirit,Phoenix,Beastmaster,Lycan,Venomancer,Clockwerk,Lina,Sven,Crystal Maiden
597,Warlock,Spectre,Lina,Mars,Tiny,Io,Gyrocopter,Beastmaster,Nyx Assassin,Storm Spirit
598,Rubick,Dark Seer,Enchantress,Alchemist,Night Stalker,Venomancer,Earth Spirit,Disruptor,Lina,Ursa
599,Ember Spirit,Vengeful Spirit,Elder Titan,Slark,Puck,Silencer,Batrider,Windranger,Sven,Pangolier
600,Tiny,Spectre,Keeper of the Light,Ember Spirit,Bounty Hunter,Clockwerk,Silencer,Dark Seer,Void Spirit,Alchemist
601,Witch Doctor,Lina,Brewmaster,Lifestealer,Puck,Io,Gyrocopter,Clockwerk,Night Stalker,Enigma
602,Tiny,Doom,Grimstroke,Spectre,Rubick,Io,Gyrocopter,Vengeful Spirit,Void Spirit,Underlord
603,Spectre,Windranger,Undying,Axe,Zeus,Silencer,Tiny,Sand King,Phantom Lancer,Shadow Demon
604,Mirana,Void Spirit,Lich,Juggernaut,Kunkka,Ember Spirit,Vengeful Spirit,Rubick,Beastmaster,Lycan
605,Mirana,Faceless Void,Lina,Enchantress,Timbersaw,Ember Spirit,Ogre Magi,Vengeful Spirit,Lycan,Kunkka
606,Tiny,Doom,Enchantress,Puck,Medusa,Ember Spirit,Nature's Prophet,Oracle,Void Spirit,Spectre
607,Lion,Sven,Vengeful Spirit,Enchantress,Viper,Ember Spirit,Legion Commander,Lich,Kunkka,Razor
608,Ember Spirit,Phantom Lancer,Enchantress,Puck,Phoenix,Batrider,Earthshaker,Crystal Maiden,Spectre,Death Prophet
609,Ogre Magi,Doom,Lina,Sand King,Ursa,Ember Spirit,Nature's Prophet,Bane,Morphling,Legion Commander
610,Enchantress,Void Spirit,Windranger,Anti-Mage,Ember Spirit,Batrider,Clinkz,Earthshaker,Templar Assassin,Vengeful Spirit
611,Ember Spirit,Grimstroke,Centaur Warrunner,Anti-Mage,Tusk,Treant Protector,Legion Commander,Phoenix,Juggernaut,Queen of Pain
612,Lina,Ogre Magi,Monkey King,Night Stalker,Slardar,Rubick,Mars,Chen,Anti-Mage,Windranger
613,Io,Gyrocopter,Queen of Pain,Enchantress,Venomancer,Clockwerk,Batrider,Phoenix,Faceless Void,Nature's Prophet
614,Clockwerk,Queen of Pain,Earth Spirit,Grimstroke,Phantom Assassin,Puck,Chen,Tidehunter,Spectre,Disruptor
615,Void Spirit,Oracle,Faceless Void,Dark Seer,Ember Spirit,Clockwerk,Puck,Terrorblade,Queen of Pain,Beastmaster
616,Mirana,Doom,Anti-Mage,Bane,Death Prophet,Tiny,Chen,Sven,Batrider,Void Spirit
617,Clockwerk,Terrorblade,Vengeful Spirit,Templar Assassin,Nature's Prophet,Rubick,Tiny,Faceless Void,Invoker,Chen
618,Rubick,Terrorblade,Chen,Legion Commander,Void Spirit,Jakiro,Batrider,Clockwerk,Spectre,Dark Seer
619,Clockwerk,Shadow Demon,Abaddon,Morphling,Kunkka,Terrorblade,Rubick,Batrider,Chen,Puck
620,Io,Gyrocopter,Beastmaster,Mirana,Ember Spirit,Phoenix,Faceless Void,Chen,Batrider,Queen of Pain
621,Void Spirit,Rubick,Snapfire,Anti-Mage,Dark Seer,Queen of Pain,Ogre Magi,Mirana,Troll Warlord,Oracle
622,Tiny,Treant Protector,Morphling,Necrophos,Ember Spirit,Rubick,Timbersaw,Abaddon,Spectre,Puck
623,Keeper of the Light,Ember Spirit,Nature's Prophet,Terrorblade,Earthshaker,Clockwerk,Snapfire,Spectre,Dark Seer,Earth Spirit
624,Treant Protector,Void Spirit,Spectre,Oracle,Magnus,Clockwerk,Batrider,Invoker,Tidehunter,Necrophos
625,Doom,Grimstroke,Pangolier,Void Spirit,Ursa,Tusk,Visage,Witch Doctor,Legion Commander,Morphling
626,Clockwerk,Queen of Pain,Tusk,Troll Warlord,Templar Assassin,Rubick,Doom,Puck,Phantom Lancer,Venomancer
627,Mirana,Ogre Magi,Weaver,Sand King,Monkey King,Phoenix,Pangolier,Terrorblade,Ember Spirit,Grimstroke
628,Enchantress,Tiny,Ember Spirit,Snapfire,Clinkz,Phoenix,Pangolier,Oracle,Terrorblade,Invoker
629,Tiny,Queen of Pain,Enchantress,Anti-Mage,Beastmaster,Tusk,Snapfire,Dark Seer,Juggernaut,Kunkka
630,Void Spirit,Chen,Ursa,Phoenix,Legion Commander,Nyx Assassin,Doom,Jakiro,Magnus,Lifestealer
631,Rubick,Doom,Lich,Slark,Batrider,Witch Doctor,Tusk,Drow Ranger,Puck,Broodmother
632,Tiny,Grimstroke,Juggernaut,Pangolier,Storm Spirit,Treant Protector,Rubick,Mars,Ursa,Morphling
633,Enchantress,Tiny,Mirana,Dazzle,Morphling,Clinkz,Puck,Tusk,Sand King,Necrophos
634,Tiny,Grimstroke,Clockwerk,Batrider,Slark,Treant Protector,Terrorblade,Shadow Shaman,Beastmaster,Templar Assassin
635,Ember Spirit,Mirana,Mars,Lich,Ursa,Oracle,Spectre,Centaur Warrunner,Pugna,Shadow Fiend
636,Vengeful Spirit,Medusa,Phoenix,Spirit Breaker,Queen of Pain,Tiny,Lina,Grimstroke,Juggernaut,Mars
637,Snapfire,Lifestealer,Clockwerk,Underlord,Void Spirit,Tiny,Lina,Oracle,Timbersaw,Drow Ranger
638,Windranger,Magnus,Disruptor,Troll Warlord,Abaddon,Enchantress,Rubick,Bloodseeker,Ember Spirit,Faceless Void
639,Tiny,Io,Queen of Pain,Night Stalker,Venomancer,Earth Spirit,Magnus,Ancient Apparition,Dragon Knight,Chaos Knight
640,Tiny,Dark Seer,Disruptor,Juggernaut,Nature's Prophet,Enchantress,Venomancer,Clockwerk,Sven,Queen of Pain
641,Phoenix,Lina,Mars,Troll Warlord,Kunkka,Io,Gyrocopter,Slardar,Grimstroke,Batrider
642,Io,Gyrocopter,Clockwerk,Batrider,Vengeful Spirit,Enchantress,Lina,Underlord,Faceless Void,Puck
643,Mirana,Faceless Void,Lich,Batrider,Queen of Pain,Enchantress,Magnus,Slardar,Vengeful Spirit,Juggernaut
644,Tiny,Dark Seer,Lifestealer,Oracle,Death Prophet,Grimstroke,Venomancer,Spirit Breaker,Sven,Batrider
645,Oracle,Elder Titan,Storm Spirit,Windranger,Sven,Phoenix,Tiny,Vengeful Spirit,Medusa,Puck
646,Oracle,Ember Spirit,Windranger,Bloodseeker,Terrorblade,Doom,Enchantress,Tiny,Medusa,Rubick
647,Magnus,Invoker,Undying,Slark,Rubick,Phoenix,Spectre,Clockwerk,Queen of Pain,Void Spirit
648,Nature's Prophet,Tiny,Phoenix,Kunkka,Chaos Knight,Witch Doctor,Spectre,Mirana,Axe,Timbersaw
649,Venomancer,Pudge,Clockwerk,Ember Spirit,Timbersaw,Tiny,Oracle,Earth Spirit,Terrorblade,Nature's Prophet
650,Tiny,Enchantress,Invoker,Arc Warden,Legion Commander,Earth Spirit,Phoenix,Faceless Void,Witch Doctor,Lycan
651,Tiny,Lich,Death Prophet,Anti-Mage,Kunkka,Clockwerk,Spectre,Witch Doctor,Leshrac,Monkey King
652,Clockwerk,Morphling,Earthshaker,Tidehunter,Void Spirit,Earth Spirit,Nature's Prophet,Witch Doctor,Phantom Lancer,Monkey King
653,Clockwerk,Venomancer,Underlord,Drow Ranger,Ember Spirit,Mirana,Terrorblade,Enchantress,Sand King,Bristleback
654,Batrider,Tiny,Enchantress,Chaos Knight,Windranger,Clockwerk,Morphling,Venomancer,Vengeful Spirit,Queen of Pain
655,Earth Spirit,Oracle,Void Spirit,Faceless Void,Necrophos,Batrider,Clockwerk,Puck,Underlord,Sven
656,Earth Spirit,Crystal Maiden,Invoker,Arc Warden,Pangolier,Witch Doctor,Leshrac,Nyx Assassin,Windranger,Chaos Knight
657,Mirana,Invoker,Enchantress,Gyrocopter,Underlord,Tiny,Witch Doctor,Void Spirit,Batrider,Chaos Knight
658,Spirit Breaker,Windranger,Shadow Shaman,Monkey King,Void Spirit,Jakiro,Wraith King,Dazzle,Vengeful Spirit,Templar Assassin
659,Phoenix,Bane,Queen of Pain,Phantom Lancer,Doom,Tiny,Mirana,Ogre Magi,Axe,Juggernaut
660,Clockwerk,Kunkka,Timbersaw,Mirana,Sven,Tiny,Nature's Prophet,Ursa,Death Prophet,Magnus
661,Doom,Tusk,Shadow Demon,Batrider,Ursa,Tiny,Dark Seer,Crystal Maiden,Sven,Naga Siren
662,Tiny,Nature's Prophet,Weaver,Queen of Pain,Winter Wyvern,Clockwerk,Batrider,Io,Axe,Naga Siren
663,Tiny,Vengeful Spirit,Gyrocopter,Abaddon,Puck,Clockwerk,Batrider,Silencer,Faceless Void,Kunkka
664,Earth Spirit,Anti-Mage,Undying,Tidehunter,Dazzle,Phoenix,Clockwerk,Slardar,Ursa,Kunkka
665,Tiny,Crystal Maiden,Mirana,Invoker,Juggernaut,Lich,Spectre,Necrophos,Earth Spirit,Void Spirit
666,Rubick,Legion Commander,Lich,Queen of Pain,Lifestealer,Venomancer,Earth Spirit,Death Prophet,Sven,Ogre Magi
667,Rubick,Tidehunter,Earthshaker,Spectre,Batrider,Earth Spirit,Morphling,Crystal Maiden,Queen of Pain,Beastmaster
668,Venomancer,Earth Spirit,Lich,Lycan,Templar Assassin,Tiny,Rubick,Oracle,Kunkka,Juggernaut
669,Doom,Spectre,Crystal Maiden,Earthshaker,Bounty Hunter,Rubick,Terrorblade,Batrider,Undying,Monkey King
670,Clockwerk,Viper,Terrorblade,Tiny,Dark Seer,Earthshaker,Magnus,Shadow Demon,Phantom Lancer,Death Prophet
671,Tiny,Crystal Maiden,Luna,Void Spirit,Phoenix,Mirana,Timbersaw,Kunkka,Shadow Demon,Lifestealer
672,Tiny,Nature's Prophet,Treant Protector,Razor,Rubick,Doom,Earthshaker,Lich,Sven,Necrophos
673,Silencer,Batrider,Tusk,Kunkka,Terrorblade,Rubick,Ogre Magi,Weaver,Ember Spirit,Vengeful Spirit
674,Witch Doctor,Lifestealer,Lina,Brewmaster,Broodmother,Enchantress,Night Stalker,Slardar,Faceless Void,Snapfire
675,Earthshaker,Doom,Spectre,Jakiro,Storm Spirit,Tiny,Enchantress,Phoenix,Juggernaut,Magnus
676,Nyx Assassin,Batrider,Void Spirit,Abaddon,Witch Doctor,Jakiro,Rubick,Legion Commander,Anti-Mage,Beastmaster
677,Batrider,Monkey King,Tusk,Enchantress,Alchemist,Winter Wyvern,Legion Commander,Windranger,Riki,Crystal Maiden
678,Void Spirit,Winter Wyvern,Omniknight,Slark,Death Prophet,Enchantress,Spectre,Batrider,Earthshaker,Leshrac
679,Vengeful Spirit,Terrorblade,Shadow Demon,Jakiro,Sand King,Mirana,Batrider,Silencer,Phantom Lancer,Elder Titan
680,Witch Doctor,Abaddon,Ursa,Puck,Lina,Ember Spirit,Jakiro,Queen of Pain,Troll Warlord,Dazzle
681,Io,Ursa,Puck,Nyx Assassin,Lifestealer,Void Spirit,Winter Wyvern,Batrider,Riki,Lone Druid
682,Nature's Prophet,Winter Wyvern,Queen of Pain,Mirana,Troll Warlord,Io,Earth Spirit,Void Spirit,Spectre,Legion Commander
683,Vengeful Spirit,Pangolier,Windranger,Tusk,Legion Commander,Jakiro,Ember Spirit,Earthshaker,Queen of Pain,Underlord
684,Undying,Storm Spirit,Dark Willow,Terrorblade,Pangolier,Io,Tusk,Rubick,Phoenix,Ursa
685,Snapfire,Lifestealer,Phoenix,Mars,Dragon Knight,Tiny,Windranger,Slardar,Undying,Weaver
686,Snapfire,Anti-Mage,Beastmaster,Shadow Demon,Death Prophet,Tiny,Pugna,Windranger,Troll Warlord,Legion Commander
687,Witch Doctor,Earth Spirit,Magnus,Clockwerk,Ember Spirit,Tiny,Pugna,Elder Titan,Spectre,Queen of Pain
688,Tiny,Mirana,Crystal Maiden,Wraith King,Pugna,Enchantress,Faceless Void,Void Spirit,Underlord,Nyx Assassin
689,Mirana,Juggernaut,Ogre Magi,Underlord,Slardar,Phoenix,Mars,Void Spirit,Anti-Mage,Witch Doctor
690,Tiny,Bloodseeker,Bounty Hunter,Medusa,Bane,Windranger,Lifestealer,Chen,Slardar,Zeus
691,Rubick,Clockwerk,Medusa,Ember Spirit,Sand King,Bloodseeker,Earth Spirit,Oracle,Terrorblade,Invoker
692,Magnus,Grimstroke,Tiny,Dark Seer,Faceless Void,Rubick,Spectre,Warlock,Batrider,Dragon Knight
693,Snapfire,Vengeful Spirit,Legion Commander,Lifestealer,Zeus,Phoenix,Faceless Void,Ogre Magi,Magnus,Weaver
694,Phoenix,Terrorblade,Rubick,Queen of Pain,Axe,Treant Protector,Venomancer,Void Spirit,Troll Warlord,Lion
695,Disruptor,Timbersaw,Earthshaker,Slark,Kunkka,Treant Protector,Terrorblade,Rubick,Slardar,Ancient Apparition
696,Slardar,Drow Ranger,Windranger,Legion Commander,Dazzle,Doom,Venomancer,Clockwerk,Troll Warlord,Nature's Prophet
697,Treant Protector,Brewmaster,Morphling,Earthshaker,Queen of Pain,Tiny,Grimstroke,Dark Seer,Slark,Pangolier
698,Vengeful Spirit,Doom,Rubick,Zeus,Nature's Prophet,Grimstroke,Bloodseeker,Ursa,Io,Storm Spirit
699,Phoenix,Ogre Magi,Magnus,Zeus,Sven,Mirana,Lina,Oracle,Terrorblade,Night Stalker
700,Treant Protector,Phoenix,Mars,Drow Ranger,Death Prophet,Venomancer,Tiny,Magnus,Juggernaut,Shadow Demon
701,Snapfire,Morphling,Bane,Void Spirit,Death Prophet,Phoenix,Mars,Clockwerk,Templar Assassin,Nature's Prophet
702,Queen of Pain,Earthshaker,Rubick,Morphling,Venomancer,Nyx Assassin,Viper,Vengeful Spirit,Luna,Ancient Apparition
703,Io,Bloodseeker,Clockwerk,Faceless Void,Snapfire,Sven,Ancient Apparition,Invoker,Pudge,Beastmaster
704,Nature's Prophet,Clockwerk,Mirana,Kunkka,Storm Spirit,Tiny,Void Spirit,Vengeful Spirit,Terrorblade,Timbersaw
705,Mirana,Spectre,Mars,Winter Wyvern,Zeus,Tiny,Nature's Prophet,Sven,Bounty Hunter,Bloodseeker
706,Vengeful Spirit,Terrorblade,Batrider,Witch Doctor,Broodmother,Enchantress,Earth Spirit,Beastmaster,Faceless Void,Zeus
707,Io,Timbersaw,Windranger,Gyrocopter,Crystal Maiden,Tiny,Sven,Enchantress,Arc Warden,Bloodseeker
708,Tiny,Phoenix,Elder Titan,Morphling,Pangolier,Io,Earth Spirit,Centaur Warrunner,Anti-Mage,Lina
709,Earth Spirit,Death Prophet,Chen,Phantom Assassin,Magnus,Tiny,Ancient Apparition,Beastmaster,Puck,Troll Warlord
710,Phoenix,Tiny,Axe,Morphling,Queen of Pain,Nature's Prophet,Terrorblade,Vengeful Spirit,Undying,Ancient Apparition
711,Clockwerk,Beastmaster,Lina,Morphling,Rubick,Nature's Prophet,Ember Spirit,Mirana,Ancient Apparition,Chaos Knight
712,Earth Spirit,Ember Spirit,Silencer,Faceless Void,Tidehunter,Vengeful Spirit,Batrider,Death Prophet,Beastmaster,Sven
713,Doom,Faceless Void,Ember Spirit,Oracle,Pangolier,Earth Spirit,Batrider,Legion Commander,Nature's Prophet,Ursa
714,Nature's Prophet,Faceless Void,Ember Spirit,Dark Willow,Void Spirit,Clockwerk,Batrider,Vengeful Spirit,Terrorblade,Legion Commander
715,Nature's Prophet,Anti-Mage,Pangolier,Witch Doctor,Elder Titan,Rubick,Chen,Centaur Warrunner,Puck,Meepo
716,Doom,Elder Titan,Lich,Phantom Lancer,Broodmother,Rubick,Arc Warden,Venomancer,Enchantress,Pangolier
717,Clockwerk,Spectre,Oracle,Death Prophet,Axe,Earth Spirit,Invoker,Slardar,Terrorblade,Undying
718,Dark Seer,Phoenix,Snapfire,Drow Ranger,Death Prophet,Clockwerk,Enchantress,Lifestealer,Beastmaster,Monkey King
719,Earth Spirit,Spectre,Bane,Venomancer,Broodmother,Clockwerk,Dark Seer,Slardar,Lifestealer,Invoker
720,Enchantress,Abaddon,Rubick,Anti-Mage,Storm Spirit,Disruptor,Dark Seer,Naga Siren,Slardar,Magnus
721,Dark Seer,Terrorblade,Sand King,Silencer,Enigma,Void Spirit,Oracle,Rubick,Beastmaster,Morphling
722,Phoenix,Centaur Warrunner,Grimstroke,Slark,Windranger,Vengeful Spirit,Mirana,Death Prophet,Bloodseeker,Tiny
723,Skywrath Mage,Ursa,Kunkka,Jakiro,Storm Spirit,Mirana,Nature's Prophet,Shadow Demon,Death Prophet,Vengeful Spirit
724,Mirana,Ember Spirit,Puck,Spectre,Omniknight,Enchantress,Rubick,Sand King,Batrider,Lone Druid
725,Mars,Disruptor,Winter Wyvern,Lifestealer,Pugna,Snapfire,Faceless Void,Earth Spirit,Batrider,Bounty Hunter
726,Oracle,Clockwerk,Doom,Spectre,Monkey King,Snapfire,Tiny,Vengeful Spirit,Medusa,Phoenix
727,Vengeful Spirit,Drow Ranger,Tidehunter,Doom,Earth Spirit,Tiny,Spectre,Oracle,Snapfire,Ember Spirit
728,Oracle,Venomancer,Tiny,Spectre,Storm Spirit,Void Spirit,Rubick,Jakiro,Centaur Warrunner,Phantom Assassin
729,Mirana,Lifestealer,Ogre Magi,Undying,Pangolier,Vengeful Spirit,Tiny,Timbersaw,Drow Ranger,Nature's Prophet
730,Tiny,Snapfire,Disruptor,Naga Siren,Zeus,Phoenix,Faceless Void,Vengeful Spirit,Underlord,Kunkka
731,Io,Clockwerk,Venomancer,Terrorblade,Ember Spirit,Ancient Apparition,Faceless Void,Tiny,Nature's Prophet,Earth Spirit
732,Magnus,Windranger,Vengeful Spirit,Shadow Fiend,Ember Spirit,Doom,Faceless Void,Snapfire,Skywrath Mage,Tiny
733,Grimstroke,Tusk,Jakiro,Juggernaut,Pangolier,Magnus,Venomancer,Treant Protector,Rubick,Anti-Mage
734,Doom,Disruptor,Spirit Breaker,Dark Seer,Gyrocopter,Phoenix,Faceless Void,Mars,Jakiro,Invoker
735,Doom,Phoenix,Disruptor,Juggernaut,Tusk,Lich,Void Spirit,Dark Seer,Pangolier,Wraith King
736,Tiny,Grimstroke,Enchantress,Ember Spirit,Templar Assassin,Vengeful Spirit,Rubick,Void Spirit,Tidehunter,Wraith King
737,Tiny,Grimstroke,Viper,Faceless Void,Earth Spirit,Mirana,Sand King,Juggernaut,Shadow Demon,Rubick
738,Clockwerk,Void Spirit,Enigma,Gyrocopter,Vengeful Spirit,Tusk,Venomancer,Lich,Faceless Void,Tiny
739,Nature's Prophet,Tusk,Witch Doctor,Weaver,Bristleback,Clockwerk,Viper,Earth Spirit,Gyrocopter,Queen of Pain
740,Jakiro,Void Spirit,Clockwerk,Mars,Gyrocopter,Tiny,Grimstroke,Ember Spirit,Spectre,Viper
741,Jakiro,Rubick,Mars,Naga Siren,Void Spirit,Doom,Queen of Pain,Grimstroke,Batrider,Slark
742,Pangolier,Jakiro,Dazzle,Sven,Void Spirit,Nature's Prophet,Queen of Pain,Earth Spirit,Axe,Winter Wyvern
743,Nature's Prophet,Doom,Treant Protector,Mirana,Brewmaster,Vengeful Spirit,Ember Spirit,Jakiro,Naga Siren,Visage
744,Doom,Grimstroke,Nature's Prophet,Clockwerk,Kunkka,Vengeful Spirit,Mirana,Earth Spirit,Naga Siren,Jakiro
745,Enchantress,Earthshaker,Ursa,Storm Spirit,Abaddon,Vengeful Spirit,Mirana,Mars,Venomancer,Luna
746,Queen of Pain,Earthshaker,Enchantress,Drow Ranger,Dazzle,Ember Spirit,Rubick,Disruptor,Dragon Knight,Night Stalker
747,Disruptor,Ember Spirit,Puck,Brewmaster,Alchemist,Mirana,Vengeful Spirit,Luna,Doom,Ogre Magi
748,Nature's Prophet,Clockwerk,Weaver,Legion Commander,Lifestealer,Winter Wyvern,Batrider,Mirana,Queen of Pain,Timbersaw
749,Void Spirit,Keeper of the Light,Tiny,Luna,Death Prophet,Bane,Ember Spirit,Snapfire,Mars,Faceless Void
750,Void Spirit,Bane,Tusk,Visage,Phantom Lancer,Queen of Pain,Bounty Hunter,Jakiro,Luna,Underlord
751,Tiny,Phoenix,Storm Spirit,Sand King,Slark,Venomancer,Terrorblade,Magnus,Queen of Pain,Disruptor
752,Tiny,Death Prophet,Snapfire,Faceless Void,Legion Commander,Rubick,Sven,Phoenix,Brewmaster,Pugna
